config,lane,exp_4c,exp_5c,exp_6c,meas_4c,meas_5c,meas_6c,compared,err_5_vs_4,err_6_vs_4,status
bf16_bf16_bf16,2lane,4,5,6,4,5,6,496,0,0,PASS
bf16_bf16_fp32,2lane,4,5,6,4,5,6,496,0,0,PASS
fp16_fp16_fp16,1lane,4,5,6,4,5,6,496,0,0,PASS
fp16_fp16_fp32,1lane,4,5,6,4,5,6,496,0,0,PASS
fp4e1m2_bf16_bf16,2lane,4,5,6,4,5,6,496,0,0,PASS
fp4e1m2_bf16_fp32,2lane,4,5,6,4,5,6,496,0,0,PASS
fp4e1m2_fp16_fp16,2lane,4,5,6,4,5,6,496,0,0,PASS
fp4e1m2_fp16_fp32,2lane,4,5,6,4,5,6,496,0,0,PASS
fp4e1m2_fp8e4m3_fp16,4lane,4,5,6,4,5,6,496,0,0,PASS
fp4e1m2_fp8e4m3_fp8,4lane,4,5,6,4,5,6,496,0,0,PASS
fp4e1m2_fp8e5m2_fp16,4lane,4,5,6,4,5,6,496,0,0,PASS
fp4e1m2_fp8e5m2_fp8,4lane,4,5,6,4,5,6,496,0,0,PASS
fp4e2m1_bf16_bf16,2lane,4,5,6,4,5,6,496,0,0,PASS
fp4e2m1_bf16_fp32,2lane,4,5,6,4,5,6,496,0,0,PASS
fp4e2m1_fp16_fp16,2lane,4,5,6,4,5,6,496,0,0,PASS
fp4e2m1_fp16_fp32,2lane,4,5,6,4,5,6,496,0,0,PASS
fp4e2m1_fp8e4m3_fp16,4lane,4,5,6,4,5,6,496,0,0,PASS
fp4e2m1_fp8e4m3_fp8,4lane,4,5,6,4,5,6,496,0,0,PASS
fp4e2m1_fp8e5m2_fp16,4lane,4,5,6,4,5,6,496,0,0,PASS
fp4e2m1_fp8e5m2_fp8,4lane,4,5,6,4,5,6,496,0,0,PASS
fp4e3m0_bf16_bf16,2lane,4,5,6,4,5,6,496,0,0,PASS
fp4e3m0_bf16_fp32,2lane,4,5,6,4,5,6,496,0,0,PASS
fp4e3m0_fp16_fp16,2lane,4,5,6,4,5,6,496,0,0,PASS
fp4e3m0_fp16_fp32,2lane,4,5,6,4,5,6,496,0,0,PASS
fp4e3m0_fp8e4m3_fp16,4lane,4,5,6,4,5,6,496,0,0,PASS
fp4e3m0_fp8e4m3_fp8,4lane,4,5,6,4,5,6,496,0,0,PASS
fp4e3m0_fp8e5m2_fp16,4lane,4,5,6,4,5,6,496,0,0,PASS
fp4e3m0_fp8e5m2_fp8,4lane,4,5,6,4,5,6,496,0,0,PASS
fp8e4m3_bf16_bf16,2lane,4,5,6,4,5,6,496,0,0,PASS
fp8e4m3_bf16_fp32,2lane,4,5,6,4,5,6,496,0,0,PASS
fp8e4m3_fp16_fp16,2lane,4,5,6,4,5,6,496,0,0,PASS
fp8e4m3_fp16_fp32,2lane,4,5,6,4,5,6,496,0,0,PASS
fp8e4m3_fp8e4m3_bf16,4lane,4,5,6,4,5,6,496,0,0,PASS
fp8e4m3_fp8e4m3_fp16,4lane,4,5,6,4,5,6,496,0,0,PASS
fp8e4m3_fp8e4m3_fp8,4lane,4,5,6,4,5,6,496,0,0,PASS
fp8e5m2_bf16_bf16,2lane,4,5,6,4,5,6,496,0,0,PASS
fp8e5m2_bf16_fp32,2lane,4,5,6,4,5,6,496,0,0,PASS
fp8e5m2_fp16_fp16,2lane,4,5,6,4,5,6,496,0,0,PASS
fp8e5m2_fp16_fp32,2lane,4,5,6,4,5,6,496,0,0,PASS
fp8e5m2_fp8e5m2_bf16,4lane,4,5,6,4,5,6,496,0,0,PASS
fp8e5m2_fp8e5m2_fp16,4lane,4,5,6,4,5,6,496,0,0,PASS
fp8e5m2_fp8e5m2_fp8,4lane,4,5,6,4,5,6,496,0,0,PASS
int4_fp8e4m3_fp16,4lane,4,5,6,4,5,6,496,0,0,PASS
int4_fp8e4m3_fp8,4lane,4,5,6,4,5,6,496,0,0,PASS
int4_fp8e5m2_fp16,4lane,4,5,6,4,5,6,496,0,0,PASS
int4_fp8e5m2_fp8,4lane,4,5,6,4,5,6,496,0,0,PASS
int8_int8_int32,2lane,3,3,4,3,3,4,496,0,0,PASS
int_bf16_bf16,2lane,4,5,6,4,5,6,496,0,0,PASS
int_bf16_fp32,2lane,4,5,6,4,5,6,496,0,0,PASS
int_fp16_fp16,2lane,4,5,6,4,5,6,496,0,0,PASS
int_fp16_fp32,2lane,4,5,6,4,5,6,496,0,0,PASS
