# status|lane|cfg|variant|top|LUT|FF|DSP|WNS_ns|Fmax_MHz
OK|1lane|fp16_fp16_fp16|4c|fp16_fp16_fp16_mac_4c|215|150|1|-0.902|320.10
OK|1lane|fp16_fp16_fp16|5c|fp16_fp16_fp16_mac_5c|232|180|1|0.000|450.05
OK|1lane|fp16_fp16_fp16|6c|fp16_fp16_fp16_mac_6c|220|212|1|0.024|454.96
OK|1lane|fp16_fp16_fp32|4c|fp16_fp16_fp32_mac_4c|542|184|1|-1.481|270.05
OK|1lane|fp16_fp16_fp32|5c|fp16_fp16_fp32_mac_5c|542|216|1|-1.600|261.64
OK|1lane|fp16_fp16_fp32|6c|fp16_fp16_fp32_mac_6c|539|277|1|-1.432|273.67
OK|2lane|bf16_bf16_bf16|4c|bf16_bf16_bf16_mac_4c|396|242|1|-0.447|374.67
OK|2lane|bf16_bf16_bf16|5c|bf16_bf16_bf16_mac_5c|459|334|1|-0.298|396.83
OK|2lane|bf16_bf16_bf16|6c|bf16_bf16_bf16_mac_6c|450|398|1|0.048|459.98
OK|2lane|bf16_bf16_fp32|4c|bf16_bf16_fp32_mac_4c|1119|396|1|-2.572|208.59
OK|2lane|bf16_bf16_fp32|5c|bf16_bf16_fp32_mac_5c|1119|460|1|-2.554|209.38
OK|2lane|bf16_bf16_fp32|6c|bf16_bf16_fp32_mac_6c|1081|570|1|-1.683|256.08
OK|2lane|fp4e1m2_bf16_bf16|4c|fp4e1m2_bf16_bf16_mac_4c|390|228|1|-0.388|383.14
OK|2lane|fp4e1m2_bf16_bf16|5c|fp4e1m2_bf16_bf16_mac_5c|455|320|1|-0.227|408.33
OK|2lane|fp4e1m2_bf16_bf16|6c|fp4e1m2_bf16_bf16_mac_6c|444|384|1|0.019|453.93
OK|2lane|fp4e1m2_bf16_fp32|4c|fp4e1m2_bf16_fp32_mac_4c|1057|378|1|-2.435|214.73
